transaction_date,house_age,distance_to_the_nearest_MRT_station,number_of_convenience_stores,latitude,longitude,house_price_of_unit_area,log_house_price_of_unit_area
2012.9170000000001,32.0,84.87881999999999,10,24.982979999999998,121.54024,37.9,3.634951112088381
2012.9170000000001,19.5,306.5947,9,24.980339999999998,121.53951,42.2,3.742420221041966
2013.5829999999999,13.3,561.9845,5,24.987460000000002,121.54391000000001,47.3,3.856510295497887
2013.5,13.3,561.9845,5,24.987460000000002,121.54391000000001,54.8,4.00369019395397
2012.8329999999999,5.0,390.5684,5,24.97937,121.54245,43.1,3.763522997109702
2012.6670000000001,34.5,623.4731,7,24.979329999999997,121.53641999999999,40.3,3.696351468952637
2013.4170000000001,20.3,287.6025,6,24.980420000000002,121.54228,46.7,3.8437441646748516
2013.4170000000001,17.9,1783.18,3,24.96731,121.51486000000001,22.1,3.095577608523707
2013.0829999999999,34.8,405.2134,1,24.973489999999998,121.53372,41.4,3.7232808808312687
2013.3329999999999,6.3,90.45606,9,24.97433,121.5431,58.1,4.062165663857866
2012.9170000000001,13.0,492.2313,5,24.96515,121.53737,39.3,3.6712245188752153
2013.5,13.2,1164.838,4,24.99156,121.53406000000001,34.3,3.535145354171894
2013.5829999999999,35.7,579.2083,2,24.9824,121.54619,50.5,3.9219733362813143
2013.25,0.0,292.9978,6,24.977439999999998,121.54458000000001,70.1,4.249922794040544
2012.75,17.7,350.8515,1,24.97544,121.53119,37.4,3.6216707044204863
2013.4170000000001,16.9,368.1363,8,24.9675,121.54451,42.3,3.744787086052232
2012.6670000000001,1.5,23.382839999999998,7,24.96772,121.54101999999999,47.7,3.8649313978942956
2013.4170000000001,10.5,279.1726,7,24.975279999999998,121.54541,51.6,3.9435216724875173
2012.9170000000001,14.7,1360.139,1,24.95204,121.54842,24.6,3.202746442938317
2013.0829999999999,10.1,279.1726,7,24.975279999999998,121.54541,47.9,3.8691155044168695
2013.0,39.6,480.6977,4,24.97353,121.53885,38.8,3.6584202466292277
2013.0829999999999,29.3,1487.868,2,24.97542,121.51726000000001,27.0,3.295836866004329
2012.6670000000001,3.1,383.8624,5,24.98085,121.54391000000001,56.2,4.028916756899646
2013.25,10.4,276.449,5,24.95593,121.53913,33.6,3.5145260669691587
2013.5,19.2,557.4780000000001,4,24.97419,121.53797,47.0,3.8501476017100584
2013.0829999999999,7.1,451.2438,5,24.97563,121.54693999999999,57.1,4.044804116661965
2012.75,29.6,769.4034,7,24.98281,121.53408,25.0,3.2188758248682006
2012.75,37.9,488.5727,1,24.973489999999998,121.53451000000001,34.2,3.5322256440685598
2013.25,16.5,323.655,6,24.97841,121.54281,49.3,3.8979240810486444
2012.75,15.4,205.36700000000002,7,24.984189999999998,121.54243000000001,55.1,4.009149716158869
2012.9170000000001,14.7,1935.009,2,24.96386,121.51458000000001,22.9,3.131136910560194
2013.1670000000001,12.0,1360.139,1,24.95204,121.54842,25.3,3.2308043957334744
2012.6670000000001,3.1,577.9615,6,24.97201,121.54722,47.7,3.8649313978942956
2013.1670000000001,16.2,289.3248,5,24.982029999999998,121.54348,46.2,3.832979798087693
2013.4170000000001,36.1,519.4617,5,24.96305,121.53758,34.7,3.5467396869528134
2012.75,34.4,512.7871,6,24.987479999999998,121.54301000000001,34.1,3.529297384289471
2013.5829999999999,2.7,533.4762,4,24.97445,121.54765,53.9,3.9871304779149512
2013.0829999999999,36.6,488.8193,8,24.97015,121.54494,38.3,3.6454498961866
2013.4170000000001,21.7,463.9623,9,24.9703,121.54458000000001,42.0,3.7376696182833684
2013.5829999999999,35.9,640.7391,3,24.97563,121.53715,61.5,4.119037174812473
2013.4170000000001,21.7,512.5487,4,24.974,121.53842,44.2,3.7887247890836524
2013.0829999999999,31.3,1758.406,1,24.95402,121.55282,20.7,3.0301337002713233
2013.5829999999999,32.1,1438.579,3,24.97419,121.5175,27.0,3.295836866004329
2013.0829999999999,13.3,492.2313,5,24.96515,121.53737,38.9,3.6609942506244004
2013.0829999999999,16.1,289.3248,5,24.982029999999998,121.54348,51.7,3.9454577815143836
2012.8329999999999,31.7,1160.632,0,24.949679999999997,121.53008999999999,13.7,2.617395832834079
2013.4170000000001,33.6,371.2495,8,24.97254,121.54059,41.9,3.735285826928092
2012.9170000000001,3.5,56.47425,7,24.95744,121.53711000000001,53.5,3.979681653901961
2013.0829999999999,13.3,336.0532,5,24.95776,121.53438,42.4,3.7471483622379123
2013.4170000000001,11.0,1931.207,2,24.96365,121.51471000000001,21.3,3.0587070727153796
2013.5,5.3,259.6607,6,24.97585,121.54516000000001,63.2,4.146304301152812
2013.5829999999999,2.6,533.4762,4,24.97445,121.54765,55.0,4.007333185232471
2013.3329999999999,17.5,995.7554,0,24.96305,121.54915,25.3,3.2308043957334744
2013.4170000000001,40.1,123.7429,8,24.97635,121.54328999999998,44.3,3.7909846770510898
2013.0,1.0,193.5845,6,24.96571,121.54088999999999,50.7,3.9259259105971376
2013.5,8.5,104.8101,5,24.966739999999998,121.54066999999999,56.8,4.039536325727106
2013.4170000000001,30.4,464.223,6,24.97964,121.53805,36.2,3.5890591188317256
2012.8329999999999,12.5,561.9845,5,24.987460000000002,121.54391000000001,42.0,3.7376696182833684
